EmployeeNumber,Gender,Hourly Rate,JobRole,JobRole_lower,New_job_role,JobSatisfaction,JobSatisfaction_new,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,YearsSinceLastPromotion,Job_role_first,upper_job,M or F,Job_id
330,Female,56,Sales Representative,sales representative,Sales Representative,2,5,2,No,11,3,1,Sal,SAL,F,SAL330F
331,Male,62,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,0,Yes,14,3,1,Lab,LAB,M,LAB331M
332,Female,96,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,7,No,14,3,1,Lab,LAB,F,LAB332F
333,Male,100,Sales Executive,sales executive,Sales Executive,4,10,0,No,18,3,2,Sal,SAL,M,SAL333M
334,Male,36,Research Scientist,research scientist,Research Scientist,1,2.5,2,No,16,3,0,Res,RES,M,RES334M
335,Male,62,Research Scientist,research scientist,Research Scientist,4,10,1,No,17,3,4,Res,RES,M,RES335M
336,Male,70,Manager,manager,Manager,4,10,0,No,11,3,1,Man,MAN,M,MAN336M
337,Male,73,Research Director,research director,Research Leader,3,7.5,9,No,12,3,2,Res,RES,M,RES337M
338,Female,63,Research Scientist,research scientist,Research Scientist,4,10,1,No,13,3,0,Res,RES,F,RES338F
339,Male,84,Manufacturing Director,manufacturing director,Manufacturing Leader,1,2.5,6,No,13,3,5,Man,MAN,M,MAN339M
340,Female,83,Research Scientist,research scientist,Research Scientist,1,2.5,2,No,14,3,0,Res,RES,F,RES340F
341,Male,77,Manufacturing Director,manufacturing director,Manufacturing Leader,3,7.5,4,No,17,3,0,Man,MAN,M,MAN341M
342,Male,61,Manufacturing Director,manufacturing director,Manufacturing Leader,3,7.5,6,No,11,3,0,Man,MAN,M,MAN342M
343,Female,64,Healthcare Representative,healthcare representative,Healthcare Representative,3,7.5,0,No,25,4,11,Hea,HEA,F,HEA343F
346,Male,60,Research Scientist,research scientist,Research Scientist,4,10,1,No,19,3,1,Res,RES,M,RES346M
347,Female,82,Research Scientist,research scientist,Research Scientist,1,2.5,3,Yes,13,3,0,Res,RES,F,RES347F
349,Male,45,Sales Executive,sales executive,Sales Executive,4,10,2,No,14,3,0,Sal,SAL,M,SAL349M
350,Female,62,Manufacturing Director,manufacturing director,Manufacturing Leader,3,7.5,0,No,12,3,1,Man,MAN,F,MAN350F
351,Female,56,Laboratory Technician,laboratory technician,Laboratory Technician,1,2.5,0,Yes,11,3,7,Lab,LAB,F,LAB351F
352,Male,49,Research Director,research director,Research Leader,3,7.5,0,No,19,3,3,Res,RES,M,RES352M
353,Male,96,Research Scientist,research scientist,Research Scientist,4,10,1,No,11,3,0,Res,RES,M,RES353M
355,Male,71,Laboratory Technician,laboratory technician,Laboratory Technician,2,5,0,No,11,3,1,Lab,LAB,M,LAB355M
359,Male,100,Laboratory Technician,laboratory technician,Laboratory Technician,2,5,1,No,20,4,0,Lab,LAB,M,LAB359M
361,Male,39,Sales Executive,sales executive,Sales Executive,4,10,3,No,18,3,7,Sal,SAL,M,SAL361M
362,Male,84,Laboratory Technician,laboratory technician,Laboratory Technician,1,2.5,4,No,13,3,0,Lab,LAB,M,LAB362M
363,Female,75,Manager,manager,Manager,2,5,3,Yes,12,3,7,Man,MAN,F,MAN363F
364,Male,79,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,2,No,11,3,0,Lab,LAB,M,LAB364M
366,Male,78,Sales Executive,sales executive,Sales Executive,2,5,2,No,19,3,0,Sal,SAL,M,SAL366M
367,Male,64,Healthcare Representative,healthcare representative,Healthcare Representative,4,10,0,No,21,4,7,Hea,HEA,M,HEA367M
369,Male,85,Healthcare Representative,healthcare representative,Healthcare Representative,1,2.5,1,No,12,3,1,Hea,HEA,M,HEA369M
372,Male,79,Healthcare Representative,healthcare representative,Healthcare Representative,4,10,0,Yes,14,3,4,Hea,HEA,M,HEA372M
373,Male,47,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,0,No,11,3,10,Lab,LAB,M,LAB373M
374,Male,81,Manager,manager,Manager,1,2.5,0,Yes,14,3,4,Man,MAN,M,MAN374M
376,Male,88,Manager,manager,Manager,2,5,1,Yes,12,3,9,Man,MAN,M,MAN376M
377,Male,94,Research Scientist,research scientist,Research Scientist,4,10,1,No,23,4,0,Res,RES,M,RES377M
378,Male,98,Sales Executive,sales executive,Sales Executive,4,10,4,No,14,3,0,Sal,SAL,M,SAL378M
379,Male,100,Research Scientist,research scientist,Research Scientist,3,7.5,1,No,17,3,1,Res,RES,M,RES379M
380,Female,80,Research Director,research director,Research Leader,4,10,2,Yes,18,3,0,Res,RES,F,RES380F
381,Female,71,Manager,manager,Manager,2,5,7,No,18,3,6,Man,MAN,F,MAN381F
382,Female,44,Sales Executive,sales executive,Sales Executive,1,2.5,1,Yes,24,4,7,Sal,SAL,F,SAL382F
384,Female,84,Manufacturing Director,manufacturing director,Manufacturing Leader,2,5,1,No,20,4,1,Man,MAN,F,MAN384F
385,Male,96,Research Director,research director,Research Leader,2,5,3,No,14,3,1,Res,RES,M,RES385M
386,Male,45,Research Director,research director,Research Leader,3,7.5,3,Yes,16,3,1,Res,RES,M,RES386M
387,Male,99,Sales Executive,sales executive,Sales Executive,3,7.5,1,No,25,4,11,Sal,SAL,M,SAL387M
388,Male,44,Sales Executive,sales executive,Sales Executive,4,10,1,No,18,3,0,Sal,SAL,M,SAL388M
389,Male,37,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,3,Yes,19,3,0,Lab,LAB,M,LAB389M
390,Male,60,Healthcare Representative,healthcare representative,Healthcare Representative,1,2.5,1,Yes,13,3,3,Hea,HEA,M,HEA390M
391,Female,42,Research Scientist,research scientist,Research Scientist,4,10,1,No,12,3,5,Res,RES,F,RES391F
392,Male,43,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,3,Yes,22,4,0,Lab,LAB,M,LAB392M
393,Male,82,Healthcare Representative,healthcare representative,Healthcare Representative,4,10,9,No,14,3,1,Hea,HEA,M,HEA393M
394,Male,45,Laboratory Technician,laboratory technician,Laboratory Technician,2,5,2,Yes,13,3,0,Lab,LAB,M,LAB394M
395,Female,66,Research Scientist,research scientist,Research Scientist,4,10,1,No,21,4,0,Res,RES,F,RES395F
396,Female,35,Research Director,research director,Research Leader,1,2.5,9,Yes,11,3,1,Res,RES,F,RES396F
397,Male,30,Research Scientist,research scientist,Research Scientist,2,5,4,No,12,3,7,Res,RES,M,RES397M
399,Female,84,Sales Representative,sales representative,Sales Representative,2,5,1,No,11,3,2,Sal,SAL,F,SAL399F
401,Male,48,Sales Executive,sales executive,Sales Executive,4,10,1,Yes,12,3,7,Sal,SAL,M,SAL401M
403,Male,53,Research Scientist,research scientist,Research Scientist,4,10,1,Yes,12,3,1,Res,RES,M,RES403M
404,Female,77,Sales Executive,sales executive,Sales Executive,2,5,5,No,14,3,4,Sal,SAL,F,SAL404F
405,Male,54,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,1,No,13,3,0,Lab,LAB,M,LAB405M
406,Male,96,Sales Executive,sales executive,Sales Executive,2,5,0,No,15,3,6,Sal,SAL,M,SAL406M
407,Male,81,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,4,No,18,3,0,Lab,LAB,M,LAB407M
408,Male,84,Manufacturing Director,manufacturing director,Manufacturing Leader,2,5,5,No,18,3,1,Man,MAN,M,MAN408M
410,Male,88,Manager,manager,Manager,2,5,1,No,19,3,0,Man,MAN,M,MAN410M
411,Female,69,Sales Representative,sales representative,Sales Representative,3,7.5,1,No,12,3,0,Sal,SAL,F,SAL411F
412,Male,68,Healthcare Representative,healthcare representative,Healthcare Representative,1,2.5,0,No,19,3,0,Hea,HEA,M,HEA412M
416,Male,100,Sales Executive,sales executive,Sales Executive,4,10,4,No,11,3,7,Sal,SAL,M,SAL416M
417,Male,48,Healthcare Representative,healthcare representative,Healthcare Representative,4,10,0,No,17,3,3,Hea,HEA,M,HEA417M
419,Female,47,Laboratory Technician,laboratory technician,Laboratory Technician,2,5,7,No,15,3,0,Lab,LAB,F,LAB419F
420,Male,91,Sales Executive,sales executive,Sales Executive,3,7.5,1,No,14,3,4,Sal,SAL,M,SAL420M
421,Female,81,Research Director,research director,Research Leader,2,5,3,No,17,3,0,Res,RES,F,RES421F
422,Male,32,Healthcare Representative,healthcare representative,Healthcare Representative,3,7.5,2,Yes,13,3,1,Hea,HEA,M,HEA422M
423,Male,86,Research Scientist,research scientist,Research Scientist,4,10,0,Yes,12,3,0,Res,RES,M,RES423M
424,Male,62,Human Resources,human resources,Human Resources,1,2.5,3,No,12,3,1,Hum,HUM,M,HUM424M
425,Male,97,Laboratory Technician,laboratory technician,Laboratory Technician,1,2.5,1,No,18,3,9,Lab,LAB,M,LAB425M
426,Male,32,Research Scientist,research scientist,Research Scientist,4,10,0,Yes,18,3,2,Res,RES,M,RES426M
428,Female,74,Manager,manager,Manager,2,5,6,No,11,3,8,Man,MAN,F,MAN428F
429,Male,99,Manager,manager,Manager,1,2.5,1,Yes,14,3,11,Man,MAN,M,MAN429M
430,Female,33,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,0,No,19,3,1,Lab,LAB,F,LAB430F
431,Female,90,Healthcare Representative,healthcare representative,Healthcare Representative,3,7.5,7,Yes,12,3,0,Hea,HEA,F,HEA431F
433,Male,85,Research Scientist,research scientist,Research Scientist,2,5,2,No,15,3,7,Res,RES,M,RES433M
434,Female,85,Research Scientist,research scientist,Research Scientist,2,5,1,Yes,12,3,1,Res,RES,F,RES434F
436,Female,65,Sales Executive,sales executive,Sales Executive,2,5,1,Yes,11,3,11,Sal,SAL,F,SAL436F
437,Male,74,Sales Executive,sales executive,Sales Executive,3,7.5,1,Yes,11,3,0,Sal,SAL,M,SAL437M
438,Male,73,Sales Executive,sales executive,Sales Executive,4,10,4,No,12,3,1,Sal,SAL,M,SAL438M
439,Female,74,Research Scientist,research scientist,Research Scientist,4,10,7,No,16,3,0,Res,RES,F,RES439F
440,Male,84,Research Scientist,research scientist,Research Scientist,4,10,5,Yes,13,3,2,Res,RES,M,RES440M
441,Female,64,Research Scientist,research scientist,Research Scientist,4,10,1,No,13,3,1,Res,RES,F,RES441F
442,Female,48,Manufacturing Director,manufacturing director,Manufacturing Leader,3,7.5,1,No,24,4,8,Man,MAN,F,MAN442F
444,Male,54,Manager,manager,Manager,4,10,1,No,15,3,13,Man,MAN,M,MAN444M
445,Female,41,Sales Executive,sales executive,Sales Executive,3,7.5,4,Yes,18,3,0,Sal,SAL,F,SAL445F
446,Male,46,Sales Executive,sales executive,Sales Executive,4,10,3,No,14,3,0,Sal,SAL,M,SAL446M
447,Male,42,Research Director,research director,Research Leader,3,7.5,4,No,11,3,1,Res,RES,M,RES447M
448,Female,82,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,1,No,11,3,0,Lab,LAB,F,LAB448F
449,Male,73,Sales Executive,sales executive,Sales Executive,2,5,0,Yes,13,3,1,Sal,SAL,M,SAL449M
450,Female,31,Research Scientist,research scientist,Research Scientist,3,7.5,3,No,12,3,0,Res,RES,F,RES450F
451,Female,43,Healthcare Representative,healthcare representative,Healthcare Representative,1,2.5,8,No,16,3,0,Hea,HEA,F,HEA451F
452,Male,75,Research Scientist,research scientist,Research Scientist,4,10,9,No,14,3,9,Res,RES,M,RES452M
453,Male,57,Sales Executive,sales executive,Sales Executive,4,10,2,Yes,22,4,0,Sal,SAL,M,SAL453M
454,Male,77,Laboratory Technician,laboratory technician,Laboratory Technician,1,2.5,1,Yes,11,3,0,Lab,LAB,M,LAB454M
455,Male,30,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,0,No,17,3,2,Lab,LAB,M,LAB455M
456,Female,30,Sales Executive,sales executive,Sales Executive,3,7.5,1,No,13,3,1,Sal,SAL,F,SAL456F
458,Female,56,Sales Executive,sales executive,Sales Executive,2,5,1,No,18,3,0,Sal,SAL,F,SAL458F
460,Male,61,Manufacturing Director,manufacturing director,Manufacturing Leader,4,10,7,No,16,3,0,Man,MAN,M,MAN460M
461,Male,92,Research Director,research director,Research Leader,4,10,0,Yes,14,3,2,Res,RES,M,RES461M
462,Female,39,Manufacturing Director,manufacturing director,Manufacturing Leader,4,10,1,Yes,14,3,4,Man,MAN,F,MAN462F
463,Female,39,Sales Executive,sales executive,Sales Executive,2,5,1,Yes,14,3,1,Sal,SAL,F,SAL463F
464,Male,62,Manufacturing Director,manufacturing director,Manufacturing Leader,2,5,0,No,13,3,0,Man,MAN,M,MAN464M
465,Male,83,Research Scientist,research scientist,Research Scientist,4,10,1,No,12,3,0,Res,RES,M,RES465M
466,Male,95,Manufacturing Director,manufacturing director,Manufacturing Leader,2,5,6,Yes,15,3,1,Man,MAN,M,MAN466M
467,Male,99,Sales Representative,sales representative,Sales Representative,3,7.5,3,No,19,3,0,Sal,SAL,M,SAL467M
468,Female,44,Research Director,research director,Research Leader,4,10,2,No,14,3,0,Res,RES,F,RES468F
469,Male,61,Sales Executive,sales executive,Sales Executive,3,7.5,1,No,14,3,0,Sal,SAL,M,SAL469M
470,Male,52,Human Resources,human resources,Human Resources,3,7.5,0,Yes,11,3,1,Hum,HUM,M,HUM470M
471,Female,75,Laboratory Technician,laboratory technician,Laboratory Technician,2,5,1,No,13,3,0,Lab,LAB,F,LAB471F
473,Female,91,Manager,manager,Manager,3,7.5,3,No,21,4,0,Man,MAN,F,MAN473F
474,Male,51,Research Scientist,research scientist,Research Scientist,1,2.5,4,Yes,13,3,6,Res,RES,M,RES474M
475,Female,85,Sales Executive,sales executive,Sales Executive,3,7.5,7,Yes,12,3,2,Sal,SAL,F,SAL475F
476,Male,57,Sales Executive,sales executive,Sales Executive,3,7.5,1,No,17,3,7,Sal,SAL,M,SAL476M
477,Male,98,Healthcare Representative,healthcare representative,Healthcare Representative,4,10,3,No,23,4,0,Hea,HEA,M,HEA477M
478,Female,99,Sales Representative,sales representative,Sales Representative,2,5,1,Yes,11,3,1,Sal,SAL,F,SAL478F
479,Female,45,Sales Executive,sales executive,Sales Executive,4,10,4,No,15,3,0,Sal,SAL,F,SAL479F
481,Male,48,Sales Executive,sales executive,Sales Executive,4,10,4,No,11,3,1,Sal,SAL,M,SAL481M
482,Male,88,Healthcare Representative,healthcare representative,Healthcare Representative,3,7.5,2,No,11,3,1,Hea,HEA,M,HEA482M
483,Female,46,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,3,Yes,13,3,1,Lab,LAB,F,LAB483F
484,Male,39,Sales Representative,sales representative,Sales Representative,4,10,1,No,24,4,2,Sal,SAL,M,SAL484M
485,Female,34,Sales Representative,sales representative,Sales Representative,3,7.5,1,Yes,13,3,0,Sal,SAL,F,SAL485F
486,Female,98,Laboratory Technician,laboratory technician,Laboratory Technician,1,2.5,6,No,20,4,0,Lab,LAB,F,LAB486F
487,Female,30,Manufacturing Director,manufacturing director,Manufacturing Leader,3,7.5,2,No,14,3,0,Man,MAN,F,MAN487F
488,Male,56,Sales Executive,sales executive,Sales Executive,2,5,1,No,18,3,7,Sal,SAL,M,SAL488M
491,Male,100,Healthcare Representative,healthcare representative,Healthcare Representative,4,10,6,No,15,3,1,Hea,HEA,M,HEA491M
492,Male,68,Sales Executive,sales executive,Sales Executive,3,7.5,2,Yes,12,3,1,Sal,SAL,M,SAL492M
493,Male,42,Research Scientist,research scientist,Research Scientist,2,5,0,Yes,16,3,2,Res,RES,M,RES493M
494,Female,90,Sales Representative,sales representative,Sales Representative,2,5,1,No,15,3,0,Sal,SAL,F,SAL494F
495,Male,54,Research Scientist,research scientist,Research Scientist,4,10,9,No,16,3,1,Res,RES,M,RES495M
496,Male,97,Healthcare Representative,healthcare representative,Healthcare Representative,2,5,9,No,19,3,0,Hea,HEA,M,HEA496M
497,Male,82,Laboratory Technician,laboratory technician,Laboratory Technician,2,5,1,No,11,3,0,Lab,LAB,M,LAB497M
498,Male,92,Sales Executive,sales executive,Sales Executive,4,10,1,No,16,3,0,Sal,SAL,M,SAL498M
499,Male,31,Healthcare Representative,healthcare representative,Healthcare Representative,3,7.5,8,No,24,4,0,Hea,HEA,M,HEA499M
500,Female,87,Sales Executive,sales executive,Sales Executive,4,10,4,No,11,3,0,Sal,SAL,F,SAL500F
501,Female,96,Research Scientist,research scientist,Research Scientist,3,7.5,4,No,13,3,2,Res,RES,F,RES501F
502,Male,67,Sales Executive,sales executive,Sales Executive,4,10,8,Yes,13,3,0,Sal,SAL,M,SAL502M
505,Female,97,Manager,manager,Manager,4,10,2,Yes,13,3,1,Man,MAN,F,MAN505F
507,Female,77,Sales Executive,sales executive,Sales Executive,3,7.5,1,Yes,12,3,0,Sal,SAL,F,SAL507F
508,Male,72,Sales Representative,sales representative,Sales Representative,2,5,1,No,18,3,0,Sal,SAL,M,SAL508M
510,Male,73,Research Scientist,research scientist,Research Scientist,1,2.5,0,No,22,4,0,Res,RES,M,RES510M
511,Female,43,Research Scientist,research scientist,Research Scientist,2,5,1,No,13,3,1,Res,RES,F,RES511F
513,Male,61,Sales Executive,sales executive,Sales Executive,3,7.5,1,No,13,3,9,Sal,SAL,M,SAL513M
514,Male,40,Research Scientist,research scientist,Research Scientist,4,10,9,Yes,23,4,0,Res,RES,M,RES514M
515,Female,95,Laboratory Technician,laboratory technician,Laboratory Technician,1,2.5,1,No,12,3,12,Lab,LAB,F,LAB515F
516,Female,46,Sales Executive,sales executive,Sales Executive,2,5,7,No,12,3,1,Sal,SAL,F,SAL516F
517,Female,95,Laboratory Technician,laboratory technician,Laboratory Technician,1,2.5,3,No,16,3,1,Lab,LAB,F,LAB517F
518,Male,49,Manufacturing Director,manufacturing director,Manufacturing Leader,2,5,2,Yes,12,3,0,Man,MAN,M,MAN518M
520,Male,59,Research Director,research director,Research Leader,2,5,1,No,11,3,3,Res,RES,M,RES520M
521,Female,78,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,6,No,22,4,0,Lab,LAB,F,LAB521F
522,Male,86,Research Director,research director,Research Leader,1,2.5,4,No,11,3,1,Res,RES,M,RES522M
523,Female,72,Sales Executive,sales executive,Sales Executive,3,7.5,9,No,15,3,1,Sal,SAL,F,SAL523F
524,Female,31,Manufacturing Director,manufacturing director,Manufacturing Leader,1,2.5,1,No,12,3,3,Man,MAN,F,MAN524F
525,Male,61,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,7,No,20,4,1,Lab,LAB,M,LAB525M
526,Female,74,Healthcare Representative,healthcare representative,Healthcare Representative,3,7.5,4,Yes,14,3,0,Hea,HEA,F,HEA526F
527,Female,99,Sales Executive,sales executive,Sales Executive,4,10,1,Yes,11,3,1,Sal,SAL,F,SAL527F
529,Female,72,Research Scientist,research scientist,Research Scientist,3,7.5,3,Yes,15,3,10,Res,RES,F,RES529F
530,Male,98,Laboratory Technician,laboratory technician,Laboratory Technician,1,2.5,1,No,12,3,3,Lab,LAB,M,LAB530M
531,Male,52,Manager,manager,Manager,3,7.5,1,Yes,14,3,1,Man,MAN,M,MAN531M
532,Female,86,Sales Executive,sales executive,Sales Executive,1,2.5,9,No,11,3,7,Sal,SAL,F,SAL532F
533,Female,83,Sales Executive,sales executive,Sales Executive,3,7.5,0,No,11,3,4,Sal,SAL,F,SAL533F
534,Male,49,Sales Executive,sales executive,Sales Executive,1,2.5,1,No,16,3,0,Sal,SAL,M,SAL534M
536,Male,79,Laboratory Technician,laboratory technician,Laboratory Technician,1,2.5,1,No,12,3,1,Lab,LAB,M,LAB536M
538,Male,91,Laboratory Technician,laboratory technician,Laboratory Technician,1,2.5,5,No,13,3,0,Lab,LAB,M,LAB538M
543,Male,39,Manufacturing Director,manufacturing director,Manufacturing Leader,3,7.5,2,Yes,14,3,0,Man,MAN,M,MAN543M
544,Male,69,Research Scientist,research scientist,Research Scientist,4,10,3,No,21,4,0,Res,RES,M,RES544M
546,Female,30,Manager,manager,Manager,4,10,2,No,13,3,1,Man,MAN,F,MAN546F
547,Female,92,Research Scientist,research scientist,Research Scientist,3,7.5,2,No,11,3,0,Res,RES,F,RES547F
548,Female,43,Manufacturing Director,manufacturing director,Manufacturing Leader,4,10,2,No,20,4,0,Man,MAN,F,MAN548F
549,Female,41,Manager,manager,Manager,1,2.5,5,No,11,3,11,Man,MAN,F,MAN549F
550,Female,87,Manufacturing Director,manufacturing director,Manufacturing Leader,3,7.5,2,No,14,3,0,Man,MAN,F,MAN550F
551,Female,88,Healthcare Representative,healthcare representative,Healthcare Representative,4,10,0,No,11,3,0,Hea,HEA,F,HEA551F
554,Female,62,Sales Representative,sales representative,Sales Representative,2,5,1,Yes,16,3,1,Sal,SAL,F,SAL554F
555,Female,33,Sales Representative,sales representative,Sales Representative,3,7.5,0,No,16,3,1,Sal,SAL,F,SAL555F
556,Male,42,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,1,Yes,23,4,0,Lab,LAB,M,LAB556M
558,Female,79,Manager,manager,Manager,3,7.5,0,No,14,3,1,Man,MAN,F,MAN558F
560,Female,90,Research Scientist,research scientist,Research Scientist,4,10,1,No,22,4,0,Res,RES,F,RES560F
562,Male,53,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,4,No,15,3,1,Lab,LAB,M,LAB562M
564,Male,93,Research Director,research director,Research Leader,3,7.5,1,No,18,3,0,Res,RES,M,RES564M
565,Female,71,Research Scientist,research scientist,Research Scientist,2,5,5,No,16,3,1,Res,RES,F,RES565F
566,Male,52,Human Resources,human resources,Human Resources,4,10,1,No,12,3,0,Hum,HUM,M,HUM566M
567,Female,69,Sales Executive,sales executive,Sales Executive,1,2.5,0,No,11,3,7,Sal,SAL,F,SAL567F
568,Male,56,Manager,manager,Manager,4,10,3,No,12,3,0,Man,MAN,M,MAN568M
569,Male,88,Manager,manager,Manager,3,7.5,0,No,15,3,15,Man,MAN,M,MAN569M
571,Female,49,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,0,No,14,3,6,Lab,LAB,F,LAB571F
573,Female,80,Sales Executive,sales executive,Sales Executive,1,2.5,4,No,19,3,13,Sal,SAL,F,SAL573F
574,Female,65,Manufacturing Director,manufacturing director,Manufacturing Leader,4,10,5,No,13,3,0,Man,MAN,F,MAN574F
575,Male,51,Research Director,research director,Research Leader,3,7.5,6,No,13,3,0,Res,RES,M,RES575M
577,Male,46,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,0,No,15,3,4,Lab,LAB,M,LAB577M
578,Female,42,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,7,No,11,3,0,Lab,LAB,F,LAB578F
579,Male,62,Research Scientist,research scientist,Research Scientist,3,7.5,3,No,12,3,5,Res,RES,M,RES579M
580,Female,94,Sales Executive,sales executive,Sales Executive,4,10,2,Yes,19,3,1,Sal,SAL,F,SAL580F
581,Male,33,Manufacturing Director,manufacturing director,Manufacturing Leader,2,5,1,No,25,4,0,Man,MAN,M,MAN581M
582,Male,56,Manager,manager,Manager,3,7.5,7,Yes,12,3,7,Man,MAN,M,MAN582M
584,Male,38,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,7,No,13,3,1,Lab,LAB,M,LAB584M
585,Male,57,Sales Representative,sales representative,Sales Representative,2,5,0,No,14,3,1,Sal,SAL,M,SAL585M
586,Male,72,Healthcare Representative,healthcare representative,Healthcare Representative,3,7.5,4,Yes,12,3,0,Hea,HEA,M,HEA586M
587,Male,66,Healthcare Representative,healthcare representative,Healthcare Representative,3,7.5,3,No,12,3,0,Hea,HEA,M,HEA587M
590,Female,43,Human Resources,human resources,Human Resources,1,2.5,9,Yes,15,3,0,Hum,HUM,F,HUM590F
591,Male,97,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,4,No,17,3,2,Lab,LAB,M,LAB591M
592,Male,32,Sales Executive,sales executive,Sales Executive,4,10,1,No,14,3,9,Sal,SAL,M,SAL592M
593,Male,99,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,5,No,16,3,1,Lab,LAB,M,LAB593M
595,Female,37,Sales Executive,sales executive,Sales Executive,4,10,2,No,14,3,6,Sal,SAL,F,SAL595F
597,Female,83,Manager,manager,Manager,2,5,3,No,23,4,7,Man,MAN,F,MAN597F
599,Male,56,Sales Executive,sales executive,Sales Executive,4,10,7,No,14,3,1,Sal,SAL,M,SAL599M
600,Male,85,Sales Executive,sales executive,Sales Executive,3,7.5,9,No,11,3,6,Sal,SAL,M,SAL600M
601,Female,75,Manufacturing Director,manufacturing director,Manufacturing Leader,3,7.5,7,No,15,3,5,Man,MAN,F,MAN601F
602,Female,48,Laboratory Technician,laboratory technician,Laboratory Technician,3,7.5,1,No,11,3,0,Lab,LAB,F,LAB602F
604,Male,77,Sales Executive,sales executive,Sales Executive,4,10,4,Yes,13,3,0,Sal,SAL,M,SAL604M
605,Male,56,Manufacturing Director,manufacturing director,Manufacturing Leader,1,2.5,1,Yes,21,4,5,Man,MAN,M,MAN605M
606,Male,61,Sales Executive,sales executive,Sales Executive,2,5,0,No,19,3,3,Sal,SAL,M,SAL606M
608,Female,58,Human Resources,human resources,Human Resources,3,7.5,0,Yes,11,3,1,Hum,HUM,F,HUM608F
611,Male,34,Manufacturing Director,manufacturing director,Manufacturing Leader,4,10,4,No,12,3,1,Man,MAN,M,MAN611M
612,Female,95,Research Director,research director,Research Leader,3,7.5,4,No,19,3,0,Res,RES,F,RES612F
613,Male,44,Manager,manager,Manager,4,10,9,No,21,4,0,Man,MAN,M,MAN613M
614,Male,69,Sales Representative,sales representative,Sales Representative,2,5,1,Yes,14,3,0,Sal,SAL,M,SAL614M
615,Male,58,Sales Executive,sales executive,Sales Executive,1,2.5,3,No,15,3,0,Sal,SAL,M,SAL615M
616,Female,62,Healthcare Representative,healthcare representative,Healthcare Representative,3,7.5,2,Yes,17,3,0,Hea,HEA,F,HEA616F
618,Male,45,Sales Executive,sales executive,Sales Executive,3,7.5,5,No,12,3,0,Sal,SAL,M,SAL618M
620,Female,80,Sales Executive,sales executive,Sales Executive,3,7.5,1,No,16,3,0,Sal,SAL,F,SAL620F
621,Male,74,Sales Executive,sales executive,Sales Executive,4,10,1,No,12,3,5,Sal,SAL,M,SAL621M
622,Male,66,Laboratory Technician,laboratory technician,Laboratory Technician,4,10,1,Yes,18,3,0,Lab,LAB,M,LAB622M
623,Female,59,Manufacturing Director,manufacturing director,Manufacturing Leader,4,10,4,No,17,3,1,Man,MAN,F,MAN623F
624,Female,86,Healthcare Representative,healthcare representative,Healthcare Representative,3,7.5,5,No,11,3,1,Hea,HEA,F,HEA624F
625,Female,91,Manager,manager,Manager,1,2.5,7,No,16,3,11,Man,MAN,F,MAN625F
626,Male,69,Sales Executive,sales executive,Sales Executive,2,5,1,No,13,3,7,Sal,SAL,M,SAL626M
630,Male,78,Research Scientist,research scientist,Research Scientist,1,2.5,3,Yes,12,3,6,Res,RES,M,RES630M
631,Male,60,Sales Executive,sales executive,Sales Executive,3,7.5,8,No,12,3,1,Sal,SAL,M,SAL631M
632,Male,38,Sales Representative,sales representative,Sales Representative,4,10,0,No,13,3,2,Sal,SAL,M,SAL632M
634,Female,76,Healthcare Representative,healthcare representative,Healthcare Representative,3,7.5,3,No,19,3,0,Hea,HEA,F,HEA634F
635,Female,65,Manufacturing Director,manufacturing director,Manufacturing Leader,2,5,6,No,12,3,4,Man,MAN,F,MAN635F
638,Male,58,Research Director,research director,Research Leader,3,7.5,1,Yes,17,3,0,Res,RES,M,RES638M
639,Male,89,Research Scientist,research scientist,Research Scientist,4,10,1,Yes,11,3,1,Res,RES,M,RES639M
641,Male,66,Sales Executive,sales executive,Sales Executive,2,5,1,No,20,4,1,Sal,SAL,M,SAL641M
643,Male,94,Laboratory Technician,laboratory technician,Laboratory Technician,2,5,1,No,21,4,0,Lab,LAB,M,LAB643M
644,Male,99,Manager,manager,Manager,2,5,1,No,11,3,10,Man,MAN,M,MAN644M
